,代码,名称,日期
0,000001,平安银行,2025-12-18
1,000002,万  科Ａ,2025-12-18
2,000004,*ST国华,2025-12-18
3,000006,深振业Ａ,2025-12-18
4,000007,全新好,2025-12-18
5,000008,神州高铁,2025-12-18
6,000009,中国宝安,2025-12-18
7,000010,美丽生态,2025-12-18
8,000011,深物业A,2025-12-18
9,000012,南  玻Ａ,2025-12-18
10,000014,沙河股份,2025-12-18
11,000016,深康佳Ａ,2025-12-18
12,000017,深中华A,2025-12-18
13,000019,深粮控股,2025-12-18
14,000020,深华发Ａ,2025-12-18
15,000021,深科技,2025-12-18
16,000025,特  力Ａ,2025-12-18
17,000026,飞亚达,2025-12-18
18,000027,深圳能源,2025-12-18
19,000028,国药一致,2025-12-18
20,000029,深深房Ａ,2025-12-18
21,000030,富奥股份,2025-12-18
22,000031,大悦城,2025-12-18
23,000032,深桑达Ａ,2025-12-18
24,000034,神州数码,2025-12-18
25,000035,中国天楹,2025-12-18
26,000036,华联控股,2025-12-18
27,000037,深南电A,2025-12-18
28,000039,中集集团,2025-12-18
29,000042,中洲控股,2025-12-18
30,000045,深纺织Ａ,2025-12-18
31,000048,京基智农,2025-12-18
32,000049,德赛电池,2025-12-18
33,000050,深天马Ａ,2025-12-18
34,000055,方大集团,2025-12-18
35,000056,皇庭国际,2025-12-18
36,000058,深 赛 格,2025-12-18
37,000059,华锦股份,2025-12-18
38,000060,中金岭南,2025-12-18
39,000061,农 产 品,2025-12-18
40,000062,深圳华强,2025-12-18
41,000063,中兴通讯,2025-12-18
42,000065,北方国际,2025-12-18
43,000066,中国长城,2025-12-18
44,000068,华控赛格,2025-12-18
45,000069,华侨城Ａ,2025-12-18
46,000070,特发信息,2025-12-18
47,000078,海王生物,2025-12-18
48,000088,盐 田 港,2025-12-18
49,000089,深圳机场,2025-12-18
50,000090,天健集团,2025-12-18
51,000096,广聚能源,2025-12-18
52,000099,中信海直,2025-12-18
53,000100,TCL科技,2025-12-18
54,000151,中成股份,2025-12-18
55,000153,丰原药业,2025-12-18
56,000155,川能动力,2025-12-18
57,000156,华数传媒,2025-12-18
58,000157,中联重科,2025-12-18
59,000158,常山北明,2025-12-18
60,000159,国际实业,2025-12-18
61,000166,申万宏源,2025-12-18
62,000301,东方盛虹,2025-12-18
63,000333,美的集团,2025-12-18
64,000338,潍柴动力,2025-12-18
65,000400,许继电气,2025-12-18
66,000401,金隅冀东,2025-12-18
67,000402,金 融 街,2025-12-18
68,000403,派林生物,2025-12-18
69,000404,长虹华意,2025-12-18
